d1,type,d2
DB00328,1,DB00932
DB00273,1,DB00376
DB01144,1,DB01577
DB06616,1,DB09054
DB00625,1,DB00957
DB00176,1,DB08827
DB00363,1,DB00765
DB00304,1,DB04876
DB00206,1,DB00370
DB00227,1,DB04839
DB00384,1,DB00708
DB00280,1,DB01118
DB00252,1,DB00370
DB00654,1,DB00905
DB00987,1,DB01099
DB01587,1,DB09072
DB01149,1,DB08820
DB01012,1,DB06290
DB00713,1,DB01082
DB00601,1,DB01156
DB00252,1,DB00377
DB00401,1,DB00673
DB00224,1,DB01045
DB00393,1,DB00862
DB01291,1,DB09059
DB01263,1,DB09053
DB00196,1,DB00495
DB00266,1,DB01607
DB00477,1,DB00486
DB00367,1,DB00672
DB04861,1,DB06218
DB00091,1,DB00622
DB00215,1,DB00714
DB00541,1,DB00908
DB00391,1,DB08815
DB00307,1,DB01357
DB00571,1,DB09220
DB00414,1,DB06216
DB01071,1,DB01238
DB00222,1,DB04868
DB00959,1,DB00976
DB00757,1,DB06204
DB00401,1,DB00565
DB00912,1,DB01357
DB05521,1,DB09102
DB00331,1,DB09123
DB00582,1,DB00681
DB00277,1,DB01595
DB00794,1,DB04908
DB00683,1,DB01319
DB01244,1,DB01320
DB00555,1,DB01353
DB00411,1,DB01210
DB01022,1,DB01083
DB00956,1,DB09118
DB00831,1,DB08883
DB00196,1,DB00320
DB00557,1,DB00897
DB00193,1,DB01247
DB00252,1,DB08815
DB00731,1,DB09048
DB01200,1,DB01238
DB09048,1,DB09401
DB00834,1,DB05294
DB00252,1,DB04845
DB01069,1,DB09034
DB00341,1,DB06698
DB00201,1,DB01244
DB00258,1,DB01255
DB00266,1,DB00567
DB00635,1,DB01656
DB00790,1,DB01050
DB01167,1,DB06335
DB00661,1,DB01268
DB00768,1,DB09034
DB00370,1,DB00697
DB00839,1,DB08907
DB01171,1,DB06153
DB00734,1,DB04905
DB00545,1,DB00975
DB00811,1,DB00879
DB01624,1,DB06201
DB00610,1,DB01551
DB00594,1,DB01355
DB00390,1,DB03615
DB00842,1,DB01403
DB01149,1,DB09102
DB00104,1,DB00612
DB00323,1,DB00752
DB01098,1,DB06210
DB00150,1,DB00370
DB00620,1,DB01097
DB01174,1,DB01234
DB00494,1,DB00653
DB00503,1,DB00700
DB00455,1,DB09117
DB00220,1,DB01100
DB01072,1,DB09054
DB01124,1,DB04868
DB00921,1,DB01403
DB04911,1,DB06335
DB00492,1,DB01592
DB01026,1,DB06626
DB01254,1,DB09068
DB01320,1,DB06148
DB00382,1,DB00571
DB00307,1,DB09118
DB00613,1,DB04839
DB00470,1,DB01075
DB00321,1,DB00752
DB00500,1,DB01418
DB00648,1,DB09034
DB00285,1,DB06695
DB00270,1,DB01162
DB00252,1,DB01167
DB00222,1,DB00783
DB00932,1,DB06209
DB00207,1,DB09083
DB00366,1,DB01114
DB00373,1,DB00989
DB00972,1,DB01560
DB00665,1,DB09280
DB00682,1,DB00715
DB00489,1,DB09104
DB00656,1,DB06288
DB00727,1,DB00734
DB08865,1,DB08916
DB00813,1,DB00831
DB00404,1,DB00976
DB01072,1,DB04868
DB00266,1,DB06789
DB09027,1,DB09291
DB00231,1,DB01017
DB00606,1,DB00945
DB00458,1,DB01409
DB00199,1,DB00401
DB00530,1,DB00673
DB00232,1,DB01354
DB00404,1,DB00651
DB00819,1,DB08907
DB00246,1,DB00696
DB00557,1,DB00844
DB00266,1,DB01088
DB00672,1,DB00898
DB00773,1,DB04905
DB00908,1,DB04861
DB00776,1,DB01174
DB01232,1,DB01248
DB01168,1,DB01560
DB06216,1,DB09117
DB00503,1,DB05521
DB06204,1,DB09071
DB00176,1,DB00956
DB00490,1,DB00889
DB00337,1,DB04855
DB00554,1,DB00682
DB00613,1,DB01132
DB00222,1,DB00738
DB00470,1,DB00705
DB00605,1,DB00806
DB00277,1,DB08881
DB00935,1,DB06701
DB00802,1,DB09117
DB00314,1,DB01339
DB00540,1,DB00672
DB00723,1,DB01255
DB00393,1,DB04868
DB01320,1,DB01489
DB00823,1,DB01124
DB04855,1,DB06717
DB00648,1,DB01026
DB00422,1,DB00983
DB00317,1,DB09104
DB00363,1,DB01590
DB00794,1,DB01624
DB00484,1,DB06690
DB00997,1,DB01263
DB03619,1,DB09068
DB00641,1,DB09118
DB00328,1,DB00700
DB01320,1,DB09068
DB00633,1,DB00752
DB00561,1,DB00601
DB00477,1,DB09034
DB00820,1,DB01026
DB01017,1,DB01176
DB01418,1,DB09123
DB01367,1,DB09118
DB00569,1,DB01418
DB00684,1,DB01061
DB01069,1,DB06201
DB00316,1,DB00983
DB01062,1,DB01238
DB00091,1,DB00564
DB00391,1,DB09042
DB00035,1,DB00749
DB00603,1,DB08873
DB00209,1,DB01278
DB01211,1,DB01220
DB01124,1,DB01251
DB00555,1,DB01351
DB01045,1,DB09068
DB00427,1,DB00780
DB01149,1,DB01222
DB00734,1,DB01162
DB00258,1,DB06210
DB01041,1,DB01242
DB00582,1,DB06603
DB00414,1,DB00672
DB00266,1,DB00422
DB00962,1,DB08899
DB00904,1,DB01175
DB00318,1,DB01104
DB00813,1,DB06414
DB00564,1,DB06148
DB00465,1,DB01395
DB00484,1,DB00925
DB00924,1,DB08897
DB00692,1,DB01392
DB00104,1,DB00280
DB00788,1,DB04272
DB00208,1,DB09211
DB00215,1,DB04844
DB00864,1,DB01045
DB00387,1,DB00802
DB00726,1,DB01238
DB00411,1,DB00521
DB00390,1,DB00482
DB01070,1,DB01164
DB00717,1,DB01354
DB00363,1,DB01142
DB00486,1,DB08872
DB01244,1,DB09407
DB00972,1,DB00980
DB00834,1,DB01023
DB01232,1,DB09027
DB01233,1,DB04842
DB00734,1,DB00880
DB00391,1,DB00972
DB00366,1,DB09118
DB00474,1,DB04825
DB00273,1,DB00967
DB01070,1,DB06410
DB01017,1,DB09117
DB00773,1,DB06717
DB00193,1,DB00468
DB00182,1,DB00854
DB00635,1,DB00951
DB00776,1,DB06148
DB08873,1,DB09065
DB00717,1,DB01024
DB00220,1,DB00570
DB06695,1,DB09039
DB02703,1,DB08827
DB00606,1,DB06204
DB00938,1,DB01274
DB00853,1,DB00864
DB00391,1,DB04843
DB00176,1,DB00334
DB01233,1,DB01238
DB00715,1,DB00996
DB00169,1,DB06723
DB00897,1,DB01234
DB00401,1,DB01026
DB00252,1,DB09291
DB00648,1,DB01166
DB00951,1,DB00956
DB04855,1,DB09034
DB00188,1,DB01241
DB00427,1,DB08883
DB08910,1,DB09034
DB04868,1,DB08933
DB00620,1,DB00681
DB00310,1,DB06204
DB01627,1,DB09273
DB00402,1,DB00834
DB00285,1,DB00933
DB01268,1,DB01609
DB00974,1,DB00977
DB00514,1,DB00752
DB00593,1,DB01576
DB00605,1,DB03619
DB00835,1,DB09290
DB00220,1,DB01268
DB01208,1,DB01273
DB00610,1,DB01288
DB00220,1,DB00390
DB00540,1,DB00677
DB00648,1,DB06237
DB00759,1,DB01603
DB00732,1,DB00996
DB00268,1,DB00408
DB00564,1,DB01406
DB00470,1,DB01556
DB00280,1,DB09271
DB01167,1,DB09227
DB00668,1,DB01620
DB00425,1,DB00679
DB00450,1,DB01215
DB00408,1,DB06201
DB00875,1,DB00989
DB00957,1,DB01353
DB00313,1,DB00726
DB00278,1,DB01609
DB00182,1,DB00334
DB00710,1,DB06696
DB00266,1,DB00945
DB00318,1,DB01021
DB00482,1,DB09039
DB00434,1,DB09034
DB00358,1,DB09118
DB00872,1,DB00976
DB06704,1,DB09009
DB00252,1,DB08882
DB00834,1,DB01151
DB01296,1,DB08918
DB00382,1,DB06153
DB00220,1,DB00834
DB00898,1,DB01623
DB00264,1,DB01182
DB00176,1,DB00813
DB00196,1,DB04835
DB01181,1,DB06636
DB08820,1,DB08899
DB00554,1,DB00955
DB00320,1,DB04884
DB00540,1,DB00761
DB01395,1,DB09063
DB00601,1,DB06148
DB00237,1,DB00555
DB00705,1,DB01390
DB00318,1,DB00387
DB00528,1,DB01201
DB00476,1,DB08881
DB00343,1,DB00468
DB00186,1,DB06684
DB00436,1,DB09214
DB01017,1,DB09034
DB01409,1,DB06282
DB00598,1,DB06709
DB00864,1,DB00987
DB00176,1,DB01100
DB01248,1,DB09118
DB00204,1,DB01254
DB00370,1,DB02703
DB00582,1,DB09054
DB00603,1,DB00673
DB00159,1,DB00374
DB00321,1,DB00420
DB00611,1,DB00808
DB00136,1,DB11110
DB00594,1,DB00921
DB00494,1,DB09034
DB00898,1,DB00985
DB00474,1,DB01074
DB06708,1,DB08873
DB00784,1,DB06696
DB00363,1,DB00694
DB00877,1,DB08882
DB00549,1,DB09280
DB01149,1,DB09039
DB00661,1,DB00700
DB06663,1,DB08877
DB00598,1,DB00983
DB01601,1,DB08882
DB00243,1,DB01149
DB00569,1,DB00946
DB01030,1,DB01268
DB00215,1,DB01259
DB01120,1,DB01234
DB00216,1,DB01463
DB01041,1,DB01219
DB08901,1,DB09054
DB00195,1,DB00211
DB00604,1,DB02703
DB05239,1,DB08933
DB00996,1,DB01167
DB00691,1,DB06212
DB00829,1,DB01392
DB00728,1,DB01035
DB00734,1,DB01275
DB00681,1,DB01380
DB01023,1,DB09220
DB01024,1,DB01060
DB00201,1,DB01560
DB00193,1,DB00458
DB04844,1,DB09118
DB00906,1,DB01254
DB00343,1,DB01158
DB00582,1,DB00814
DB00586,1,DB00814
DB00237,1,DB00695
DB00126,1,DB00865
DB00181,1,DB00555
DB00976,1,DB09063
DB00337,1,DB09330
DB00411,1,DB01136
DB00258,1,DB00555
DB01377,1,DB01577
DB01238,1,DB04938
DB00912,1,DB09128
DB00476,1,DB06704
DB00222,1,DB00715
DB00091,1,DB02901
DB00261,1,DB09083
DB00436,1,DB06335
DB00501,1,DB00672
DB01232,1,DB08827
DB00844,1,DB01041
DB00843,1,DB09063
DB01100,1,DB08918
DB00252,1,DB06290
DB00883,1,DB04884
DB00476,1,DB00880
DB00441,1,DB01097
DB01026,1,DB09123
DB00537,1,DB09477
DB00656,1,DB00875
DB00543,1,DB00601
DB00368,1,DB00598
DB00752,1,DB01255
DB00452,1,DB00500
DB01238,1,DB05812
DB00187,1,DB00390
DB00273,1,DB00370
DB00396,1,DB01394
DB01097,1,DB01204
DB06704,1,DB06706
DB00593,1,DB09065
DB00199,1,DB00220
DB00220,1,DB00454
DB01026,1,DB09256
DB00731,1,DB08882
DB00273,1,DB01062
DB00472,1,DB09068
DB00841,1,DB01620
DB00387,1,DB09555
DB00450,1,DB01149
DB00273,1,DB00887
DB00884,1,DB01174
DB00283,1,DB05271
DB00946,1,DB00991
DB00266,1,DB01609
DB00503,1,DB01194
DB00215,1,DB00543
DB00186,1,DB00748
DB00215,1,DB00697
DB00768,1,DB06698
DB00204,1,DB00915
DB00484,1,DB00695
DB00211,1,DB09082
DB00508,1,DB00674
DB00844,1,DB09034
DB00363,1,DB00794
DB01082,1,DB01415
DB00317,1,DB00872
DB00844,1,DB00972
DB00314,1,DB00728
DB00396,1,DB00569
DB09271,1,DB11181
DB00433,1,DB09076
DB00554,1,DB01254
DB00486,1,DB00623
DB01202,1,DB08883
DB00814,1,DB01254
DB01174,1,DB01211
DB01165,1,DB09267
DB01201,1,DB08883
DB00476,1,DB01029
DB00470,1,DB00875
DB00224,1,DB00585
DB00502,1,DB01037
DB00214,1,DB00440
DB00215,1,DB08881
DB00325,1,DB00862
DB00382,1,DB00565
DB00275,1,DB04884
DB00450,1,DB01351
DB00400,1,DB00682
DB00382,1,DB00405
DB00835,1,DB01041
DB00648,1,DB06145
DB00337,1,DB01268
DB00681,1,DB00741
DB00844,1,DB06201
DB00344,1,DB00486
DB00684,1,DB01060
DB00672,1,DB01119
DB00285,1,DB08933
DB01254,1,DB01390
DB00668,1,DB01037
DB00182,1,DB00486
DB00673,1,DB01045
DB00294,1,DB05521
DB00461,1,DB00945
DB00790,1,DB00880
DB05109,1,DB06636
DB00368,1,DB00651
DB00320,1,DB00872
DB00682,1,DB00834
DB00708,1,DB00780
DB00280,1,DB09272
DB04855,1,DB09053
DB00950,1,DB00956
DB00201,1,DB04825
DB00374,1,DB06700
DB00497,1,DB00611
DB00684,1,DB09268
DB04908,1,DB08820
DB01364,1,DB06711
DB00964,1,DB01354
DB01219,1,DB09117
DB00176,1,DB00569
DB01614,1,DB09104
DB00220,1,DB00783
DB00465,1,DB00814
DB00363,1,DB00843
DB00557,1,DB00690
DB00563,1,DB09280
DB00474,1,DB00996
DB00321,1,DB00935
DB00176,1,DB01253
DB00387,1,DB00748
DB01098,1,DB09119
DB00974,1,DB01399
DB00352,1,DB01014
DB00687,1,DB09065
DB00833,1,DB01032
DB00472,1,DB01071
DB00476,1,DB00675
DB00182,1,DB00448
DB00393,1,DB00590
DB00199,1,DB06237
DB06626,1,DB08899
DB00503,1,DB00877
DB00472,1,DB01195
DB00237,1,DB00876
DB00559,1,DB08875
DB08883,1,DB09128
DB00502,1,DB00601
DB01255,1,DB06288
DB00565,1,DB00753
DB00266,1,DB06412
DB00767,1,DB01037
DB00091,1,DB00337
DB00449,1,DB06700
DB00208,1,DB01149
DB09042,1,DB09241
DB00421,1,DB01392
DB00289,1,DB01171
DB00408,1,DB00490
DB00237,1,DB00446
DB00752,1,DB09009
DB00224,1,DB01609
DB00653,1,DB01041
DB00843,1,DB01224
DB00425,1,DB00829
DB00285,1,DB01050
DB01591,1,DB01609
DB00584,1,DB00734
DB01173,1,DB01215
DB03880,1,DB06290
DB00564,1,DB08896
DB01590,1,DB09118
DB00121,1,DB01061
DB00660,1,DB06204
DB01264,1,DB08916
DB00346,1,DB01340
DB00295,1,DB00921
DB00387,1,DB00679
DB00972,1,DB04844
DB00350,1,DB00862
DB01037,1,DB06701
DB00289,1,DB01156
DB00598,1,DB01115
DB01173,1,DB06282
DB00181,1,DB01224
DB00935,1,DB09009
DB00243,1,DB01136
DB00196,1,DB01068
DB00220,1,DB09071
DB00549,1,DB00613
DB02701,1,DB08860
DB00974,1,DB09068
DB01176,1,DB05271
DB01178,1,DB04844
DB01041,1,DB09300
DB00405,1,DB09272
DB00091,1,DB00712
DB00295,1,DB04843
DB00898,1,DB06702
DB00623,1,DB01173
DB00334,1,DB00404
DB01207,1,DB06695
DB01367,1,DB06153
DB00363,1,DB09074
DB00484,1,DB01114
DB01253,1,DB01618
DB00622,1,DB01353
DB01236,1,DB09117
DB00776,1,DB06335
DB00976,1,DB01126
DB00850,1,DB05812
DB01012,1,DB01254
DB00956,1,DB00980
DB00784,1,DB00974
DB00661,1,DB08896
DB00349,1,DB09123
DB00413,1,DB00564
DB00794,1,DB00997
DB01319,1,DB09143
DB01201,1,DB09102
DB00307,1,DB00864
DB00976,1,DB04845
DB00452,1,DB01331
DB00623,1,DB04871
DB01223,1,DB01407
DB00227,1,DB06724
DB00418,1,DB06204
DB09063,1,DB09065
DB01264,1,DB08815
DB00211,1,DB04861
DB00829,1,DB09117
DB00402,1,DB01017
DB00750,1,DB06795
DB00573,1,DB01275
DB00476,1,DB03619
DB00554,1,DB09280
DB00250,1,DB06290
DB00196,1,DB00490
DB00682,1,DB01254
DB00871,1,DB00983
DB00227,1,DB01254
DB00014,1,DB01001
DB00945,1,DB01032
DB00295,1,DB06153
DB00268,1,DB00474
DB00334,1,DB09076
DB00622,1,DB09039
DB00176,1,DB06704
DB00602,1,DB00682
DB00724,1,DB01097
DB00875,1,DB00898
DB00476,1,DB00564
DB00307,1,DB08867
DB00559,1,DB00909
DB00968,1,DB09242
DB00411,1,DB01400
DB00213,1,DB00630
DB00898,1,DB05271
DB01263,1,DB06414
DB00435,1,DB01087
DB00999,1,DB01070
DB00180,1,DB00232
DB00484,1,DB00708
DB00974,1,DB09075
DB01268,1,DB01320
DB00104,1,DB01211
DB00448,1,DB08912
DB00611,1,DB09117
DB00182,1,DB01390
DB00794,1,DB09072
DB01612,1,DB08931
DB00215,1,DB01254
DB00268,1,DB00898
DB00972,1,DB01595
DB00604,1,DB01232
DB00682,1,DB01328
DB00692,1,DB01203
DB01166,1,DB01211
DB00834,1,DB06699
DB01023,1,DB06290
DB00014,1,DB00539
DB04841,1,DB09407
DB00852,1,DB06767
DB01142,1,DB09220
DB01072,1,DB09143
DB00535,1,DB00919
DB00601,1,DB00865
DB00241,1,DB00388
DB01229,1,DB01656
DB00752,1,DB04861
DB01024,1,DB01059
DB05521,1,DB09079
DB00014,1,DB00468
DB00470,1,DB00494
DB00717,1,DB01319
DB01072,1,DB01390
DB00412,1,DB01609
DB00343,1,DB00641
DB01173,1,DB08872
DB00468,1,DB08916
DB00648,1,DB01259
DB00820,1,DB09026
DB00472,1,DB09211
DB00312,1,DB00968
DB01224,1,DB09271
DB00367,1,DB01041
DB00559,1,DB00661
DB01192,1,DB09117
DB01393,1,DB01394
DB00884,1,DB01167
DB01032,1,DB03793
DB00443,1,DB00732
DB00834,1,DB00959
DB00387,1,DB00408
DB04946,1,DB09034
DB00951,1,DB09104
DB00153,1,DB01021
DB00277,1,DB08880
DB00268,1,DB04908
DB00623,1,DB04896
DB00623,1,DB05812
DB00153,1,DB00682
DB00679,1,DB00934
DB00598,1,DB01355
DB01182,1,DB08877
DB00281,1,DB01210
DB00300,1,DB00482
DB00277,1,DB01136
DB00476,1,DB00484
DB01251,1,DB01267
DB00285,1,DB01038
DB00180,1,DB00872
DB00854,1,DB00880
DB00813,1,DB00875
DB00203,1,DB08933
DB00266,1,DB00304
DB00390,1,DB09102
DB00705,1,DB08912
DB00091,1,DB00479
DB00559,1,DB00864
DB00834,1,DB01219
DB01069,1,DB09042
DB00668,1,DB06701
DB00270,1,DB06207
DB00619,1,DB00641
DB00687,1,DB01357
DB01355,1,DB09477
DB00310,1,DB09083
DB00207,1,DB06695
DB00280,1,DB00335
DB00530,1,DB01263
DB00332,1,DB00376
DB00425,1,DB06290
DB00615,1,DB09048
DB00165,1,DB00794
DB00694,1,DB01229
DB00983,1,DB01364
DB00540,1,DB00623
DB00263,1,DB00615
DB00222,1,DB01016
DB00500,1,DB04272
DB00323,1,DB01037
DB00679,1,DB06700
DB00831,1,DB00972
DB00414,1,DB01319
DB01048,1,DB01264
DB00673,1,DB08875
DB01026,1,DB01166
DB00559,1,DB06290
DB00295,1,DB00804
DB00468,1,DB00945
DB06212,1,DB09054
DB00237,1,DB00603
DB00761,1,DB01036
DB00678,1,DB09242
DB00186,1,DB00454
DB00688,1,DB01147
DB00540,1,DB09272
DB01024,1,DB01147
DB01320,1,DB08864
DB00414,1,DB00808
DB00490,1,DB01038
DB00794,1,DB06708
DB00731,1,DB04876
DB00611,1,DB01021
DB00692,1,DB04884
DB06201,1,DB09071
DB00682,1,DB01604
DB00245,1,DB08897
DB00250,1,DB08933
DB00622,1,DB00625
DB00648,1,DB01223
DB00686,1,DB01175
DB04946,1,DB08873
DB00227,1,DB00627
DB00283,1,DB00391
DB00321,1,DB01579
DB00268,1,DB00934
DB00986,1,DB09555
DB00996,1,DB01026
DB00907,1,DB01254
DB00755,1,DB00864
DB00450,1,DB01041
DB01576,1,DB04842
DB00436,1,DB00862
DB00199,1,DB05109
DB01609,1,DB08881
DB00370,1,DB01609
DB00425,1,DB01621
DB00475,1,DB00872
DB08815,1,DB09097
DB00997,1,DB01242
DB00503,1,DB01126
DB00732,1,DB01035
DB01017,1,DB01337
DB00310,1,DB00414
DB00181,1,DB01235
DB01175,1,DB01403
DB00344,1,DB01104
DB00997,1,DB01238
DB00422,1,DB00501
DB00321,1,DB01017
DB00396,1,DB06480
DB00908,1,DB08933
DB00790,1,DB09282
DB00686,1,DB01418
DB01319,1,DB03880
DB00264,1,DB00932
DB00396,1,DB06228
DB00418,1,DB01224
DB00519,1,DB01392
DB00309,1,DB01097
DB06335,1,DB06663
DB00304,1,DB00331
DB00898,1,DB01075
DB00186,1,DB00363
DB00497,1,DB09072
DB01220,1,DB09291
DB00341,1,DB00557
DB00408,1,DB00938
DB00199,1,DB00404
DB00661,1,DB08827
DB00358,1,DB00834
DB00528,1,DB01232
DB01126,1,DB01232
DB00309,1,DB04855
DB00181,1,DB00316
DB00393,1,DB00653
DB00346,1,DB00622
DB01367,1,DB09242
DB00091,1,DB00877
DB00543,1,DB01354
DB00318,1,DB05812
DB00657,1,DB00794
DB00201,1,DB01059
DB00307,1,DB06603
DB00571,1,DB01119
DB00651,1,DB00865
DB00753,1,DB01041
DB00163,1,DB01166
DB01167,1,DB09048
DB06216,1,DB09083
DB00220,1,DB00762
DB00208,1,DB00374
DB01576,1,DB01624
DB00344,1,DB09076
DB00220,1,DB00677
DB00215,1,DB01155
DB00331,1,DB00661
DB00674,1,DB00831
DB00588,1,DB00752
DB01556,1,DB09082
DB00214,1,DB01132
DB00907,1,DB08933
DB06825,1,DB08907
DB00250,1,DB00834
DB00985,1,DB08883
DB01242,1,DB09280
DB00408,1,DB01242
DB00933,1,DB00998
DB00956,1,DB01319
DB00524,1,DB01114
DB00898,1,DB08910
DB00601,1,DB04817
DB00864,1,DB08882
DB00543,1,DB01100
DB00393,1,DB06207
DB00285,1,DB01178
DB00204,1,DB08815
DB06207,1,DB09291
DB00208,1,DB01087
DB00337,1,DB01030
DB00295,1,DB09272
DB00232,1,DB01235
DB00425,1,DB00748
DB00476,1,DB06144
DB00696,1,DB02703
DB00266,1,DB00726
DB01201,1,DB01234
DB00932,1,DB05521
DB00672,1,DB04574
DB00363,1,DB00476
DB00220,1,DB00404
DB00337,1,DB01101
DB00333,1,DB01609
DB00182,1,DB00752
DB00571,1,DB08868
DB00615,1,DB08860
DB00295,1,DB00950
DB01238,1,DB09401
DB01072,1,DB08816
DB00966,1,DB09026
DB01264,1,DB01394
DB00653,1,DB06216
DB00979,1,DB01021
DB00613,1,DB06636
DB00697,1,DB06201
DB00204,1,DB00358
DB00479,1,DB01330
DB06228,1,DB08794
DB00737,1,DB04924
DB00482,1,DB09112
DB00187,1,DB00206
DB00289,1,DB01407
DB00220,1,DB01045
DB00187,1,DB01353
DB00834,1,DB00864
DB01026,1,DB04938
DB00333,1,DB00594
DB00398,1,DB00794
DB00503,1,DB06287
DB00477,1,DB00557
DB00409,1,DB00514
DB00370,1,DB00455
DB00909,1,DB01173
DB00476,1,DB00598
DB00204,1,DB00949
DB00366,1,DB00474
DB00933,1,DB00952
DB00252,1,DB00687
DB08893,1,DB09075
DB00559,1,DB00813
DB00985,1,DB09290
DB00535,1,DB01082
DB01406,1,DB01436
DB00203,1,DB01167
DB00864,1,DB01016
DB00363,1,DB01200
DB01037,1,DB06698
DB01623,1,DB04844
DB00872,1,DB01200
DB00493,1,DB00682
DB01173,1,DB01224
DB00779,1,DB01042
DB00252,1,DB00872
DB00381,1,DB06290
DB00443,1,DB09220
DB00248,1,DB01620
DB00193,1,DB00246
DB01409,1,DB09290
DB00437,1,DB00999
DB02703,1,DB09118
DB01076,1,DB02703
DB00387,1,DB01151
DB00723,1,DB05039
DB00503,1,DB00682
DB00312,1,DB00489
DB00604,1,DB09118
DB00269,1,DB00312
DB00274,1,DB01418
DB00332,1,DB01623
DB01320,1,DB09071
DB00607,1,DB01017
DB00393,1,DB01166
DB00182,1,DB00850
DB00610,1,DB06413
DB00567,1,DB00682
DB00301,1,DB00479
DB00331,1,DB00903
DB00736,1,DB08931
DB00476,1,DB00806
DB00091,1,DB01138
DB00883,1,DB09073
DB00668,1,DB00745
DB00623,1,DB01403
DB00932,1,DB09075
DB00850,1,DB09068
DB00391,1,DB01069
DB00014,1,DB00818
DB00204,1,DB00524
DB00393,1,DB05521
DB00398,1,DB01174
DB04868,1,DB08907
DB00246,1,DB01247
DB00252,1,DB06148
DB00216,1,DB00433
DB00486,1,DB00668
DB00366,1,DB00434
DB00682,1,DB03619
DB00472,1,DB04946
DB00215,1,DB00808
DB01207,1,DB01600
DB00408,1,DB01142
DB00252,1,DB08873
DB00624,1,DB01200
DB00246,1,DB01120
DB00502,1,DB00573
DB00909,1,DB09048
DB00691,1,DB00794
DB01045,1,DB06708
DB00232,1,DB01120
DB01267,1,DB09097
DB00605,1,DB01296
DB00352,1,DB01656
DB00186,1,DB00967
DB00176,1,DB08910
DB00691,1,DB09242
DB00252,1,DB00762
DB00976,1,DB09074
DB01037,1,DB09241
DB00323,1,DB06201
DB06723,1,DB08931
DB00201,1,DB00865
DB00623,1,DB01017
DB00601,1,DB01071
DB04905,1,DB08889
DB00187,1,DB00752
DB00679,1,DB00706
DB00542,1,DB01021
DB00364,1,DB01165
DB00300,1,DB00749
DB01264,1,DB09034
DB00468,1,DB01218
DB00734,1,DB09072
DB01017,1,DB06282
DB01181,1,DB01264
DB01016,1,DB04839
DB00946,1,DB01418
DB00490,1,DB00615
DB06795,1,DB09268
DB00872,1,DB08877
DB00220,1,DB00342
DB00708,1,DB00765
DB00333,1,DB00450
DB01069,1,DB04924
DB01149,1,DB09227
DB01576,1,DB06711
DB00370,1,DB00765
DB00494,1,DB09286
DB00834,1,DB01200
DB00476,1,DB00686
DB00382,1,DB00972
DB00243,1,DB01394
DB00804,1,DB01409
DB00584,1,DB00752
DB01436,1,DB06723
DB00425,1,DB00555
DB00648,1,DB08896
DB00269,1,DB04908
DB00104,1,DB00539
DB00675,1,DB01118
DB00186,1,DB00945
DB00332,1,DB01193
DB01656,1,DB08877
DB00474,1,DB09038
DB00258,1,DB08930
DB00690,1,DB00956
DB00705,1,DB00980
DB00188,1,DB01320
DB01238,1,DB01264
DB00268,1,DB00540
DB01255,1,DB01407
DB00622,1,DB01354
DB01167,1,DB01394
DB00310,1,DB00564
DB00206,1,DB00862
DB00182,1,DB00734
DB00269,1,DB01380
DB00208,1,DB06605
DB00496,1,DB09054
DB00682,1,DB04855
DB00661,1,DB01354
DB01149,1,DB01194
DB00220,1,DB01115
DB00625,1,DB00661
DB00780,1,DB01175
DB00204,1,DB00384
DB00470,1,DB05039
DB00363,1,DB00864
DB01124,1,DB06203
DB00656,1,DB01168
DB00819,1,DB00909
DB00932,1,DB06702
DB00564,1,DB06212
DB01263,1,DB04946
DB00612,1,DB00752
DB00220,1,DB08932
DB00607,1,DB00684
DB00953,1,DB01178
DB00657,1,DB06799
DB00715,1,DB01624
DB00243,1,DB09026
DB00712,1,DB08794
DB00248,1,DB00953
DB00717,1,DB03880
DB00841,1,DB01288
DB00408,1,DB00871
DB00623,1,DB09065
DB00289,1,DB05812
DB01155,1,DB06724
DB00946,1,DB09030
DB00679,1,DB01171
DB06335,1,DB08815
DB00136,1,DB09048
DB00555,1,DB09123
DB00358,1,DB00949
DB00912,1,DB06335
DB00975,1,DB00989
DB00486,1,DB00734
DB00391,1,DB00674
DB00555,1,DB00615
DB00289,1,DB09065
DB00586,1,DB00784
DB00620,1,DB01609
DB00717,1,DB06717
DB01041,1,DB01215
DB00104,1,DB02901
DB00949,1,DB01320
DB00197,1,DB08826
DB01030,1,DB05521
DB00186,1,DB00413
DB00564,1,DB01609
DB00227,1,DB00976
DB01072,1,DB06237
DB00687,1,DB06819
DB00537,1,DB01197
DB00388,1,DB00610
DB00497,1,DB01173
DB00312,1,DB00492
DB00245,1,DB00273
DB04908,1,DB06616
DB01320,1,DB05271
DB00539,1,DB09063
DB00321,1,DB01239
DB00528,1,DB00590
DB00582,1,DB01129
DB00820,1,DB02703
DB00252,1,DB00741
DB00474,1,DB01045
DB00450,1,DB00623
DB00564,1,DB00898
DB00344,1,DB01012
DB08912,1,DB09065
DB00557,1,DB00683
DB00246,1,DB00834
DB00193,1,DB01168
DB00252,1,DB08896
DB00497,1,DB01264
DB00969,1,DB09065
DB00337,1,DB00661
DB00780,1,DB09042
DB00872,1,DB00997
DB00014,1,DB09063
DB00264,1,DB08895
DB00280,1,DB08815
DB00091,1,DB01393
DB00956,1,DB01236
DB00864,1,DB09048
DB00163,1,DB00461
DB00959,1,DB01232
DB00268,1,DB01080
DB00496,1,DB00834
DB00672,1,DB01251
DB00477,1,DB01017
